time,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-01-07 02:11:25.981 UTC,125,3160901,928,15048, , ,4, ,6,1,0.17, , , , , , , ,4,4, , , ,3,2,6, ,2,1, , , , , , , , , , , , , ,4340,5, ,3825, , , , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452132685680,3145728, , , ,3, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,23571096,-1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , ,1, ,3, , , , , , , , , , , , , , , , , , , , , 
2016-01-07 02:27:23.697 UTC,125,3157949,928,12096, , ,3, ,14,3,0.21, , , , , , , ,3,3, ,2, ,2,1,5, ,10,4, , , , , , , , , , , , , ,5248,6, ,4573, , , , , , ,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452133643400,3145728, , , ,12, , , ,2, , , ,3, , , , ,12, ,2048,1, , , , ,83968,20, , , , , , , , , , ,22875992,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-07 02:27:23.716 UTC,125,3160925,928,15072, , ,4, ,7,1,0.14, , , , , , , ,4,4, , , ,3,2,6, ,2,1, , , , , , , , , , , , , ,5248,6, ,4573, , , , , , ,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452133643400,3145728, , , ,3, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,23557832,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , ,2, ,3, , , , , , , , , , , , , , , , , , , , , 
2016-01-07 02:28:16.148 UTC,125,3157973,928,12120, , ,3,1,14,3,0.21, , , , , , , ,3,3, ,2,1,2,1,5, ,10,4, , , , , , , , , , , , , ,6001,7, ,5481, , , , , , ,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452133695831,3145728, , , ,13, , , ,2, , , ,3, , , , ,13, ,2048,1, , , , ,86016,21, , , , , , , , , , ,22898816,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-07 02:28:16.164 UTC,125,3160949,928,15096, , ,4, ,7,1,0.14, , , , , , , ,4,4, , , ,3,2,6, ,2,1, , , , , , , , , , , , , ,6001,7, ,5481, , , , , , ,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452133695831,3145728, , , ,3, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,23580696,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , ,2, ,3, , , , , , , , , , , , , , , , , , , , , 
2016-01-07 02:29:06.660 UTC,125,3157997,928,12144, , ,3, ,14,3,0.21, , , , , , , ,3,3, ,2, ,2,1,5, ,10,4, , , , , , , , , , , , , ,6941,8, ,6234, , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452133746360,3145728, , , ,12, , , ,2, , , ,3, , , , ,12, ,2048,1, , , , ,83968,20, , , , , , , , , , ,22870992,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-07 02:29:06.675 UTC,125,3160973,928,15120, , ,4, ,7,1,0.14, , , , , , , ,4,4, , , ,3,2,6, ,2,1, , , , , , , , , , , , , ,6941,8, ,6234, , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452133746360,3145728, , , ,3, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,23552560,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , ,2, ,3, , , , , , , , , , , , , , , , , , , , , 
2016-01-07 02:29:29.752 UTC,125,3158021,928,12168, , ,3,1,14,3,0.21, , , , , , , ,3,3, ,2,1,2,1,5, ,10,4, , , , , , , , , , , , , ,7698,9, ,7174, , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452133769460,3145728, , , ,13, , , ,2, , , ,3, , , , ,13, ,2048,1, , , , ,86016,21, , , , , , , , , , ,22876840,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-07 02:29:29.768 UTC,125,3160997,928,15144, , ,4, ,7,1,0.14, , , , , , , ,4,4, , , ,3,2,6, ,2,1, , , , , , , , , , , , , ,7698,9, ,7174, , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452133769460,3145728, , , ,3, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,23558408,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , ,2, ,3, , , , , , , , , , , , , , , , , , , , , 
2016-01-07 02:30:25.128 UTC,125,3158045,928,12192, , ,3,1,14,3,0.21, , , , , , , ,3,3, ,2,1,2,1,5, ,10,4, , , , , , , , , , , , , ,8571,10, ,7931, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452133824833,3145728, , , ,13, , , ,2, , , ,3, , , , ,13, ,2048,1, , , , ,94208,22, , , , , , , , , , ,22880296,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
